epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,300.551,1.74754,1.53425,1.23549,0.39661,0.37232,0.27855,0.15053,1.76025,1.6511,1.29254,0.00333221,0.00333221,0.00333221
2,527.769,1.57366,1.28072,1.14131,0.39433,0.39609,0.29452,0.16951,1.67367,1.62296,1.26447,0.00640159,0.00640159,0.00640159
3,760.311,1.53604,1.24032,1.12578,0.41328,0.39421,0.30469,0.17651,1.60888,1.58231,1.25516,0.00920697,0.00920697,0.00920697
4,996.959,1.47761,1.20442,1.11031,0.39374,0.4082,0.30756,0.18048,1.5698,1.56621,1.24542,0.008812,0.008812,0.008812
5,1242.9,1.41089,1.16226,1.09061,0.43196,0.40077,0.32821,0.19459,1.49673,1.49748,1.21793,0.008416,0.008416,0.008416
6,1538.81,1.37057,1.13282,1.07747,0.41788,0.41426,0.32662,0.19617,1.47432,1.46997,1.20039,0.00802,0.00802,0.00802
7,1769.69,1.34302,1.11534,1.06855,0.41691,0.42078,0.33286,0.19916,1.44896,1.48789,1.19754,0.007624,0.007624,0.007624
8,1999.11,1.32093,1.09944,1.06114,0.42414,0.42489,0.33068,0.20034,1.43961,1.48316,1.19333,0.007228,0.007228,0.007228
9,2230.41,1.30311,1.08509,1.05499,0.42223,0.42329,0.33348,0.20182,1.41927,1.47241,1.18078,0.006832,0.006832,0.006832
10,2461.74,1.28807,1.0782,1.05,0.44489,0.40587,0.3378,0.20587,1.41196,1.47333,1.18431,0.006436,0.006436,0.006436
11,2692.44,1.27336,1.06434,1.04555,0.43379,0.40727,0.33647,0.20542,1.39421,1.46206,1.17172,0.00604,0.00604,0.00604
12,2923.72,1.26532,1.05925,1.04218,0.43581,0.41007,0.33698,0.2079,1.38833,1.45537,1.16865,0.005644,0.005644,0.005644
13,3155.01,1.25398,1.0515,1.03898,0.42419,0.4301,0.33713,0.20722,1.38752,1.44776,1.17327,0.005248,0.005248,0.005248
14,3387.75,1.24344,1.0425,1.03603,0.4358,0.40913,0.34152,0.21254,1.38662,1.44239,1.17221,0.004852,0.004852,0.004852
15,3615.01,1.23485,1.03933,1.03278,0.45036,0.40261,0.34402,0.21134,1.38516,1.44748,1.17077,0.004456,0.004456,0.004456
16,3841.08,1.23908,1.0473,1.03714,0.4564,0.40261,0.34842,0.21311,1.3783,1.43664,1.16362,0.00406,0.00406,0.00406
17,4051.9,1.22477,1.03302,1.03147,0.44527,0.41659,0.34864,0.21485,1.37661,1.43082,1.16049,0.003664,0.003664,0.003664
18,4260.16,1.21544,1.02522,1.02825,0.44471,0.41892,0.35036,0.21612,1.37265,1.43208,1.15974,0.003268,0.003268,0.003268
19,4460.06,1.20658,1.01697,1.02594,0.4493,0.42078,0.35093,0.21696,1.36847,1.43166,1.15728,0.002872,0.002872,0.002872
20,4667.51,1.1952,1.00898,1.02176,0.44629,0.41845,0.34967,0.21706,1.36655,1.43068,1.15559,0.002476,0.002476,0.002476
21,4876.24,1.18731,1.00185,1.01903,0.4465,0.42498,0.35136,0.21747,1.36261,1.42705,1.15309,0.00208,0.00208,0.00208
22,5083.13,1.17755,0.99313,1.01581,0.44807,0.42451,0.35177,0.21749,1.36291,1.42713,1.15245,0.001684,0.001684,0.001684
23,5290.69,1.16516,0.98482,1.01158,0.44591,0.4287,0.35286,0.21807,1.36162,1.42852,1.15224,0.001288,0.001288,0.001288
24,5496.79,1.15516,0.97625,1.00887,0.44488,0.4287,0.35289,0.2181,1.36248,1.42611,1.15258,0.000892,0.000892,0.000892
25,5703.45,1.14641,0.96753,1.00706,0.45501,0.42311,0.35316,0.21806,1.36286,1.42666,1.15349,0.000496,0.000496,0.000496
