epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.108,3.21323,2.66733,2.56097,0.26843,0.05535,0.04669,0.01984,2.40188,2.20147,1.69622,0.000370074,0.000370074,0.000370074
2,243.159,2.07916,1.78399,1.44583,0.12557,0.08691,0.06726,0.03307,2.09335,2.18345,1.48857,0.000711087,0.000711087,0.000711087
3,357.154,1.89293,1.66477,1.31352,0.20095,0.08748,0.07815,0.03705,1.97219,2.01027,1.42502,0.00102277,0.00102277,0.00102277
4,469.34,1.7781,1.59245,1.2565,0.36003,0.10082,0.08332,0.04455,1.85609,2.0548,1.36416,0.000979013,0.000979013,0.000979013
5,580.48,1.69757,1.53324,1.21892,0.36591,0.11153,0.09711,0.05379,1.80595,1.96445,1.35588,0.000935018,0.000935018,0.000935018
6,686.706,1.63578,1.48888,1.19528,0.36513,0.11624,0.09196,0.05486,1.76373,1.95556,1.33437,0.000891022,0.000891022,0.000891022
7,794.228,1.58577,1.45241,1.17531,0.41204,0.09945,0.09286,0.05516,1.74368,1.94967,1.33514,0.000847026,0.000847026,0.000847026
8,903.016,1.56061,1.43129,1.1632,0.36806,0.1227,0.0963,0.05527,1.72204,1.94496,1.31578,0.000803031,0.000803031,0.000803031
9,1015.1,1.53298,1.40621,1.14914,0.3644,0.13665,0.09917,0.0581,1.69643,1.92686,1.3017,0.000759035,0.000759035,0.000759035
10,1125.73,1.51492,1.3898,1.1397,0.38178,0.14163,0.09979,0.06013,1.66047,1.95623,1.29154,0.00071504,0.00071504,0.00071504
11,1233.11,1.47771,1.35878,1.12385,0.38,0.11924,0.09728,0.05875,1.64993,1.94334,1.29205,0.000671044,0.000671044,0.000671044
12,1340.29,1.45186,1.33667,1.11646,0.39227,0.1213,0.10054,0.05955,1.62848,1.94108,1.27275,0.000627048,0.000627048,0.000627048
13,1448.11,1.44365,1.3201,1.11095,0.40003,0.13551,0.10687,0.06209,1.64228,1.93183,1.27973,0.000583053,0.000583053,0.000583053
14,1556.14,1.42088,1.30541,1.10369,0.41406,0.12209,0.10911,0.06616,1.63876,1.90099,1.28484,0.000539057,0.000539057,0.000539057
15,1663.82,1.39775,1.28377,1.09645,0.41213,0.13625,0.10593,0.06533,1.63605,1.91737,1.2843,0.000495062,0.000495062,0.000495062
16,1780.45,1.37532,1.26221,1.09424,0.40534,0.14284,0.10411,0.06473,1.63518,1.88365,1.26704,0.000451066,0.000451066,0.000451066
17,1879.05,1.35131,1.23658,1.0853,0.4067,0.13427,0.10805,0.06596,1.62275,1.882,1.26484,0.00040707,0.00040707,0.00040707
18,1976.31,1.3346,1.21826,1.07858,0.38287,0.1279,0.10633,0.06522,1.61745,1.86863,1.25844,0.000363075,0.000363075,0.000363075
19,2076.82,1.31155,1.19144,1.06999,0.40258,0.14282,0.10945,0.06723,1.61349,1.85351,1.2636,0.000319079,0.000319079,0.000319079
20,2175.86,1.28967,1.17109,1.06216,0.40583,0.13721,0.11173,0.06934,1.6244,1.86742,1.26281,0.000275084,0.000275084,0.000275084
21,2276.83,1.27144,1.1534,1.0562,0.39009,0.13934,0.11263,0.06762,1.62532,1.8668,1.26775,0.000231088,0.000231088,0.000231088
22,2374.16,1.25872,1.14026,1.0501,0.40508,0.13142,0.11135,0.0689,1.61655,1.87435,1.26653,0.000187092,0.000187092,0.000187092
23,2474.56,1.24362,1.12471,1.04621,0.40783,0.13654,0.11327,0.06951,1.61771,1.87183,1.26038,0.000143097,0.000143097,0.000143097
24,2579.47,1.23071,1.11298,1.04281,0.40544,0.13756,0.11578,0.07171,1.62254,1.86984,1.26325,9.91012e-05,9.91012e-05,9.91012e-05
25,2682.96,1.22153,1.10158,1.03851,0.39489,0.14114,0.11441,0.07043,1.61757,1.87947,1.26079,5.51056e-05,5.51056e-05,5.51056e-05
