epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.1119,3.54983,2.97148,2.77202,0.24865,0.04389,0.02776,0.00977,2.81769,2.39356,1.94595,0.000370074,0.000370074,0.000370074
2,195.565,2.41651,2.00548,1.61182,0.26027,0.06169,0.04435,0.01854,2.31729,2.20175,1.61639,0.000711087,0.000711087,0.000711087
3,289.947,2.15942,1.87254,1.43369,0.2728,0.06251,0.06118,0.02921,2.2033,2.10491,1.53722,0.00102277,0.00102277,0.00102277
4,381.767,2.02562,1.79414,1.36041,0.27379,0.06547,0.06421,0.03116,2.11561,2.12988,1.49524,0.000979013,0.000979013,0.000979013
5,476.654,1.94052,1.73772,1.31985,0.36156,0.07221,0.06168,0.03184,2.0104,2.05055,1.44532,0.000935018,0.000935018,0.000935018
6,572.174,1.87681,1.69582,1.29262,0.32784,0.07697,0.06533,0.03379,1.99035,2.04721,1.43485,0.000891022,0.000891022,0.000891022
7,668.783,1.82802,1.66004,1.27128,0.33104,0.0818,0.07168,0.037,1.95148,2.02006,1.41502,0.000847026,0.000847026,0.000847026
8,764.276,1.7955,1.64052,1.25948,0.31429,0.10452,0.07389,0.03857,1.90302,2.02095,1.39594,0.000803031,0.000803031,0.000803031
9,859.004,1.76018,1.61538,1.24478,0.3236,0.11122,0.07429,0.03927,1.88185,2.0346,1.38863,0.000759035,0.000759035,0.000759035
10,953.921,1.7422,1.60101,1.23641,0.32128,0.11225,0.07702,0.04156,1.86729,2.02701,1.37396,0.00071504,0.00071504,0.00071504
11,1048.36,1.71354,1.57838,1.22297,0.31533,0.10509,0.07411,0.04211,1.85185,1.99333,1.36759,0.000671044,0.000671044,0.000671044
12,1143.08,1.69482,1.56655,1.21867,0.34039,0.11609,0.07765,0.04216,1.85483,2.03452,1.36797,0.000627048,0.000627048,0.000627048
13,1238.22,1.68635,1.55264,1.21409,0.34875,0.11891,0.08303,0.04555,1.84931,2.03135,1.36353,0.000583053,0.000583053,0.000583053
14,1333.32,1.66491,1.54203,1.20706,0.35255,0.1192,0.08205,0.04625,1.84429,2.02329,1.36354,0.000539057,0.000539057,0.000539057
15,1428.74,1.65189,1.52963,1.20283,0.35027,0.11801,0.08357,0.04622,1.82043,2.01497,1.35003,0.000495062,0.000495062,0.000495062
16,1534.11,1.62808,1.52061,1.20298,0.3387,0.11869,0.0809,0.04477,1.83942,1.99018,1.35059,0.000451066,0.000451066,0.000451066
17,1621.83,1.61198,1.50223,1.19459,0.34915,0.11787,0.08668,0.0471,1.82808,1.98714,1.34721,0.00040707,0.00040707,0.00040707
18,1709.3,1.6054,1.4938,1.19177,0.33727,0.12857,0.08605,0.04674,1.81175,1.96725,1.34027,0.000363075,0.000363075,0.000363075
19,1797.05,1.59084,1.48206,1.18481,0.3438,0.10905,0.08595,0.04789,1.81441,1.98058,1.34013,0.000319079,0.000319079,0.000319079
20,1884.44,1.58301,1.47496,1.18357,0.3455,0.11628,0.08833,0.04893,1.80147,1.98525,1.33556,0.000275084,0.000275084,0.000275084
21,1972.51,1.56977,1.46832,1.17949,0.33443,0.12109,0.08821,0.04809,1.80994,1.98071,1.34024,0.000231088,0.000231088,0.000231088
22,2060.13,1.56369,1.46081,1.17457,0.35056,0.12238,0.0915,0.04912,1.79793,1.97817,1.3332,0.000187092,0.000187092,0.000187092
23,2147.96,1.55547,1.45405,1.17321,0.32851,0.1224,0.09097,0.04914,1.79331,1.98098,1.33242,0.000143097,0.000143097,0.000143097
24,2235.76,1.55095,1.45165,1.17218,0.34492,0.11146,0.0922,0.05009,1.79125,1.98183,1.33162,9.91012e-05,9.91012e-05,9.91012e-05
25,2323.24,1.54585,1.44608,1.16884,0.32472,0.11925,0.08979,0.04923,1.79166,1.97682,1.33287,5.51056e-05,5.51056e-05,5.51056e-05
