epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.368,1.48991,1.44545,1.15029,0.3694,0.13869,0.10662,0.06757,1.59694,2.01606,1.28254,0.000370074,0.000370074,0.000370074
2,319.802,1.34603,1.25526,1.09184,0.40783,0.14623,0.12104,0.07872,1.53402,1.86919,1.24676,0.000711087,0.000711087,0.000711087
3,469.849,1.27472,1.18156,1.06363,0.43331,0.1355,0.12767,0.0795,1.46064,1.74045,1.20727,0.00102277,0.00102277,0.00102277
4,623.657,1.20654,1.11423,1.0419,0.40128,0.1467,0.13159,0.08214,1.47061,1.80957,1.23572,0.000979013,0.000979013,0.000979013
5,789.062,1.14356,1.04212,1.01999,0.40506,0.13347,0.12906,0.08473,1.43336,1.77525,1.22822,0.000935018,0.000935018,0.000935018
6,959.582,1.09856,0.99106,1.00586,0.4095,0.16003,0.13499,0.09013,1.43481,1.77235,1.19452,0.000891022,0.000891022,0.000891022
7,1127.88,1.0543,0.94127,0.99037,0.44118,0.13606,0.13744,0.09219,1.38717,1.75193,1.20218,0.000847026,0.000847026,0.000847026
8,1289.49,1.02038,0.90518,0.98002,0.4551,0.12161,0.1342,0.09074,1.37084,1.73229,1.19192,0.000803031,0.000803031,0.000803031
9,1443.96,0.98998,0.87247,0.96999,0.43276,0.14421,0.14154,0.09377,1.40625,1.74928,1.2496,0.000759035,0.000759035,0.000759035
10,1602.19,0.96145,0.83549,0.95929,0.20773,0.16186,0.14169,0.09446,1.41938,1.75377,1.20623,0.00071504,0.00071504,0.00071504
11,1760.35,0.93278,0.80605,0.95047,0.449,0.14762,0.14308,0.09599,1.4143,1.7573,1.24313,0.000671044,0.000671044,0.000671044
12,1919.48,0.90507,0.77934,0.94288,0.43054,0.16303,0.13804,0.09482,1.40036,1.75192,1.22889,0.000627048,0.000627048,0.000627048
13,2076.15,0.88556,0.75456,0.93659,0.44425,0.13986,0.13972,0.09572,1.37671,1.74682,1.22198,0.000583053,0.000583053,0.000583053
14,2238.11,0.86432,0.73372,0.93105,0.21152,0.17224,0.15147,0.10099,1.39137,1.71917,1.22362,0.000539057,0.000539057,0.000539057
15,2393.87,0.84126,0.71048,0.92464,0.4636,0.13419,0.14713,0.10216,1.37803,1.74507,1.22183,0.000495062,0.000495062,0.000495062
16,2570.12,0.81946,0.67358,0.91615,0.45433,0.13349,0.14494,0.10026,1.34705,1.67986,1.20882,0.000451066,0.000451066,0.000451066
17,2724.58,0.78676,0.64371,0.9064,0.19515,0.1669,0.15107,0.10684,1.35123,1.69392,1.21678,0.00040707,0.00040707,0.00040707
18,2875.05,0.76399,0.61975,0.89965,0.4462,0.15047,0.14695,0.1023,1.37103,1.72823,1.23116,0.000363075,0.000363075,0.000363075
19,3026.52,0.73975,0.597,0.89151,0.45632,0.13516,0.14165,0.10075,1.36383,1.7582,1.22912,0.000319079,0.000319079,0.000319079
20,3183.36,0.71697,0.57657,0.88548,0.45079,0.13874,0.14583,0.10288,1.36135,1.77273,1.21816,0.000275084,0.000275084,0.000275084
21,3331.71,0.69986,0.56012,0.88103,0.4555,0.13667,0.14283,0.10146,1.35339,1.77841,1.19934,0.000231088,0.000231088,0.000231088
22,3492.13,0.6811,0.54292,0.87467,0.46285,0.13755,0.14293,0.10133,1.36409,1.79341,1.22473,0.000187092,0.000187092,0.000187092
23,3651.77,0.66494,0.52905,0.8701,0.45623,0.13595,0.14287,0.10104,1.35393,1.80255,1.20772,0.000143097,0.000143097,0.000143097
24,3806.11,0.65049,0.51785,0.86681,0.43731,0.14694,0.15863,0.11219,1.3546,1.80627,1.21022,9.91012e-05,9.91012e-05,9.91012e-05
25,3956.92,0.63618,0.50382,0.86298,0.46081,0.14035,0.14758,0.10305,1.3578,1.80925,1.21636,5.51056e-05,5.51056e-05,5.51056e-05
