epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.746,1.60761,1.54822,1.17979,0.3754,0.1328,0.10711,0.06416,1.71013,1.9814,1.27697,0.000370074,0.000370074,0.000370074
2,272.503,1.41064,1.31085,1.09647,0.38313,0.12958,0.1087,0.06871,1.62356,1.92248,1.26082,0.000711087,0.000711087,0.000711087
3,399.792,1.34428,1.24016,1.06912,0.40026,0.15283,0.11207,0.07019,1.55905,1.89042,1.23272,0.00102277,0.00102277,0.00102277
4,522.398,1.28349,1.18139,1.04982,0.37816,0.14955,0.12106,0.07515,1.51516,1.872,1.21565,0.000979013,0.000979013,0.000979013
5,638.085,1.22622,1.11759,1.0303,0.41106,0.12578,0.12199,0.07764,1.47466,1.73935,1.19644,0.000935018,0.000935018,0.000935018
6,757.128,1.18327,1.07267,1.01727,0.4366,0.13203,0.12729,0.08366,1.50361,1.79437,1.21423,0.000891022,0.000891022,0.000891022
7,877.01,1.14518,1.02838,1.00402,0.42498,0.14114,0.13408,0.08638,1.48643,1.76298,1.2323,0.000847026,0.000847026,0.000847026
8,994.903,1.12084,1.00401,0.99734,0.43408,0.1241,0.13932,0.09195,1.47625,1.78465,1.20314,0.000803031,0.000803031,0.000803031
9,1109.75,1.09046,0.97064,0.98744,0.4497,0.13443,0.13541,0.09126,1.47968,1.79204,1.2076,0.000759035,0.000759035,0.000759035
10,1235.79,1.06631,0.94219,0.97923,0.42852,0.14409,0.13859,0.08753,1.51452,1.79577,1.22571,0.00071504,0.00071504,0.00071504
11,1352.59,1.04497,0.91688,0.9724,0.45179,0.13217,0.1345,0.08961,1.4619,1.80906,1.21154,0.000671044,0.000671044,0.000671044
12,1462.68,1.01717,0.88982,0.96472,0.46561,0.13467,0.14187,0.09667,1.43391,1.72181,1.19223,0.000627048,0.000627048,0.000627048
13,1585.43,1.00001,0.86599,0.95902,0.44417,0.14521,0.14205,0.09503,1.45378,1.78828,1.21712,0.000583053,0.000583053,0.000583053
14,1709.71,0.98137,0.84891,0.95456,0.43452,0.14329,0.14106,0.09647,1.4401,1.73754,1.1997,0.000539057,0.000539057,0.000539057
15,1819.67,0.96378,0.82958,0.94963,0.4363,0.14854,0.14558,0.09637,1.43121,1.76861,1.18678,0.000495062,0.000495062,0.000495062
16,1930.69,0.93257,0.78381,0.93997,0.47604,0.13304,0.1435,0.09706,1.42531,1.70613,1.18791,0.000451066,0.000451066,0.000451066
17,2025.18,0.90232,0.75254,0.93082,0.46999,0.1294,0.13838,0.09544,1.46544,1.76077,1.21301,0.00040707,0.00040707,0.00040707
18,2119.63,0.88169,0.72969,0.92482,0.47096,0.12644,0.13834,0.09461,1.44491,1.76603,1.20505,0.000363075,0.000363075,0.000363075
19,2214.88,0.86258,0.71006,0.91854,0.46008,0.13543,0.13815,0.09575,1.44735,1.74811,1.21327,0.000319079,0.000319079,0.000319079
20,2311.05,0.8412,0.68956,0.91248,0.44997,0.13873,0.1413,0.09805,1.43604,1.75978,1.21267,0.000275084,0.000275084,0.000275084
21,2409.01,0.82532,0.67471,0.9087,0.45177,0.14463,0.14192,0.09858,1.43229,1.73177,1.207,0.000231088,0.000231088,0.000231088
22,2506.96,0.80791,0.65757,0.90304,0.48184,0.12913,0.1405,0.09816,1.43905,1.75515,1.21831,0.000187092,0.000187092,0.000187092
23,2604.82,0.79262,0.64464,0.8984,0.48793,0.13283,0.14451,0.09933,1.44879,1.78036,1.22087,0.000143097,0.000143097,0.000143097
24,2702.88,0.77966,0.63424,0.89623,0.24042,0.14493,0.14162,0.09754,1.453,1.78956,1.21824,9.91012e-05,9.91012e-05,9.91012e-05
25,2800.66,0.76696,0.6213,0.89254,0.44242,0.15396,0.14577,0.09877,1.45671,1.79695,1.22018,5.51056e-05,5.51056e-05,5.51056e-05
