epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.374,1.80246,1.86764,1.2409,0.24349,0.10087,0.09665,0.05287,1.87569,2.02175,1.29772,0.000370074,0.000370074,0.000370074
2,198.877,1.57958,1.48969,1.1536,0.38494,0.12148,0.09956,0.05554,1.82376,1.99394,1.32387,0.000711087,0.000711087,0.000711087
3,292.553,1.51182,1.41818,1.1295,0.433,0.09877,0.10109,0.05936,1.73743,1.95194,1.30187,0.00102277,0.00102277,0.00102277
4,385.308,1.4524,1.35016,1.10755,0.38278,0.11971,0.10963,0.06459,1.67394,1.93865,1.26917,0.000979013,0.000979013,0.000979013
5,478.083,1.39859,1.29117,1.08792,0.40087,0.10584,0.10845,0.06451,1.63203,1.84791,1.24092,0.000935018,0.000935018,0.000935018
6,570.827,1.36022,1.24565,1.07219,0.41816,0.11102,0.10681,0.06504,1.62865,1.89552,1.25359,0.000891022,0.000891022,0.000891022
7,663.836,1.32073,1.20424,1.05871,0.3989,0.13316,0.11205,0.06876,1.60937,1.90116,1.23949,0.000847026,0.000847026,0.000847026
8,756.776,1.28911,1.16913,1.04834,0.42081,0.10418,0.11071,0.07046,1.58006,1.8614,1.24946,0.000803031,0.000803031,0.000803031
9,849.383,1.26243,1.13718,1.03801,0.3967,0.12653,0.11457,0.07269,1.58194,1.89882,1.24035,0.000759035,0.000759035,0.000759035
10,942.196,1.23789,1.10873,1.02955,0.41122,0.11865,0.11954,0.07313,1.56265,1.84267,1.22042,0.00071504,0.00071504,0.00071504
11,1034.73,1.21553,1.08464,1.02131,0.39749,0.14168,0.11907,0.07454,1.55158,1.88258,1.23244,0.000671044,0.000671044,0.000671044
12,1128.44,1.19039,1.05724,1.01438,0.44566,0.10713,0.11583,0.07369,1.53787,1.81654,1.22559,0.000627048,0.000627048,0.000627048
13,1221.15,1.171,1.03452,1.00769,0.42986,0.12201,0.12101,0.07731,1.53132,1.83622,1.21745,0.000583053,0.000583053,0.000583053
14,1313.92,1.15442,1.01393,1.00181,0.40789,0.12035,0.11592,0.07448,1.53342,1.84854,1.22416,0.000539057,0.000539057,0.000539057
15,1406.53,1.13496,1.00038,0.99548,0.44309,0.10879,0.12153,0.07617,1.53852,1.86198,1.23062,0.000495062,0.000495062,0.000495062
16,1516.35,1.11909,0.97832,0.99082,0.42203,0.11839,0.1151,0.07189,1.55647,1.84511,1.23426,0.000451066,0.000451066,0.000451066
17,1609.12,1.10089,0.95833,0.98562,0.42753,0.11779,0.11833,0.07353,1.55113,1.84442,1.23278,0.00040707,0.00040707,0.00040707
18,1701.51,1.08735,0.94292,0.98161,0.42855,0.11116,0.11759,0.0739,1.54253,1.86313,1.22266,0.000363075,0.000363075,0.000363075
19,1794.39,1.07224,0.92737,0.97683,0.40321,0.12619,0.11931,0.07511,1.52219,1.84697,1.21113,0.000319079,0.000319079,0.000319079
20,1886.59,1.05968,0.91463,0.97309,0.40651,0.12875,0.11906,0.07597,1.52628,1.8691,1.22506,0.000275084,0.000275084,0.000275084
21,1979.15,1.04256,0.89959,0.96866,0.39768,0.13373,0.12325,0.07692,1.53007,1.87369,1.21596,0.000231088,0.000231088,0.000231088
22,2071.61,1.03103,0.88637,0.96423,0.42129,0.11794,0.12029,0.07568,1.53806,1.87845,1.22494,0.000187092,0.000187092,0.000187092
23,2164.24,1.01909,0.87644,0.96079,0.39625,0.13287,0.11933,0.07398,1.5405,1.87278,1.23591,0.000143097,0.000143097,0.000143097
24,2256.54,1.00951,0.86772,0.95893,0.39977,0.13113,0.12014,0.07487,1.535,1.87343,1.23142,9.91012e-05,9.91012e-05,9.91012e-05
25,2348.59,0.99929,0.85717,0.9556,0.4186,0.12813,0.11942,0.07482,1.52935,1.87573,1.22268,5.51056e-05,5.51056e-05,5.51056e-05
