epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.862,5.04167,4.79605,2.81957,0.00266,0.03847,0.00166,0.00077,2.60566,4.24658,1.7069,0,0,0
2,12.5873,5.40926,4.80394,2.94672,0.00261,0.03695,0.00161,0.00077,2.60549,4.24547,1.70807,1.067e-05,1.067e-05,1.067e-05
3,14.1555,4.83237,4.77276,2.77438,0.00268,0.03716,0.0017,0.00078,2.61057,4.24417,1.70558,2.04602e-05,2.04602e-05,2.04602e-05
4,15.5585,5.73631,4.76243,3.63104,0.00272,0.03585,0.00184,0.00089,2.61515,4.24363,1.70458,2.93704e-05,2.93704e-05,2.93704e-05
5,16.7528,4.75042,4.73155,2.90411,0.0026,0.03695,0.00163,0.00077,2.61754,4.24391,1.70446,3.74007e-05,3.74007e-05,3.74007e-05
6,17.8779,5.41685,4.87022,3.4058,0.00279,0.03736,0.00179,0.00083,2.61948,4.24187,1.70413,4.45511e-05,4.45511e-05,4.45511e-05
7,19.3419,5.23028,4.74624,3.09168,0.00262,0.03554,0.00167,0.00078,2.60593,4.23835,1.70196,5.08216e-05,5.08216e-05,5.08216e-05
8,21.3555,4.99088,4.79873,2.76687,0.00298,0.03908,0.00196,0.00087,2.61306,4.23346,1.70602,5.62122e-05,5.62122e-05,5.62122e-05
9,23.6059,4.51984,4.71424,2.542,0.00313,0.03797,0.00214,0.00092,2.62431,4.23067,1.72149,6.07228e-05,6.07228e-05,6.07228e-05
10,26.2894,4.00522,4.49123,2.33087,0.00292,0.03888,0.00205,0.00095,2.65677,4.22736,1.74142,6.43536e-05,6.43536e-05,6.43536e-05
11,28.9151,4.81122,4.44301,2.14372,0.00309,0.03918,0.00219,0.00091,2.70238,4.22206,1.77222,6.71044e-05,6.71044e-05,6.71044e-05
12,31.4659,3.51473,4.3489,1.57725,0.00297,0.03888,0.00234,0.00112,2.78079,4.21541,1.81238,6.89753e-05,6.89753e-05,6.89753e-05
13,34.3997,2.77323,4.23289,1.3126,0.00286,0.03376,0.00212,0.00099,2.8691,4.21111,1.84738,6.99663e-05,6.99663e-05,6.99663e-05
14,36.6206,3.82604,4.12956,1.75224,0.00272,0.03345,0.00207,0.00098,2.95995,4.20245,1.88256,7.00774e-05,7.00774e-05,7.00774e-05
15,39.197,2.73494,4.03029,1.32665,0.00258,0.03315,0.00204,0.00103,3.01933,4.19613,1.90321,6.93086e-05,6.93086e-05,6.93086e-05
16,99.2605,2.72129,3.73585,1.29327,0.00257,0.03456,0.00203,0.00101,3.06443,4.18889,1.91699,6.76599e-05,6.76599e-05,6.76599e-05
17,100.422,2.5082,3.6012,1.30537,0.00248,0.03294,0.00214,0.00111,3.09376,4.18167,1.91651,6.51313e-05,6.51313e-05,6.51313e-05
18,101.986,2.84301,3.44924,1.44062,0.00248,0.03294,0.00214,0.00111,3.09376,4.18167,1.91651,6.17227e-05,6.17227e-05,6.17227e-05
19,103.175,2.65038,3.38538,1.32366,0.00264,0.03466,0.00249,0.00139,3.10533,4.173,1.8972,5.74343e-05,5.74343e-05,5.74343e-05
20,104.467,2.77436,3.17856,1.31845,0.00264,0.03466,0.00249,0.00139,3.10533,4.173,1.8972,5.22659e-05,5.22659e-05,5.22659e-05
21,105.883,2.73549,3.28419,1.43403,0.00273,0.03487,0.00277,0.00152,3.11727,4.15987,1.8951,4.62176e-05,4.62176e-05,4.62176e-05
22,107.156,2.48494,3.31441,1.47309,0.00273,0.03487,0.00277,0.00152,3.11727,4.15987,1.8951,3.92894e-05,3.92894e-05,3.92894e-05
23,108.633,2.93574,3.07397,1.37943,0.00279,0.03355,0.00325,0.00185,3.11527,4.15381,1.88177,3.14813e-05,3.14813e-05,3.14813e-05
24,109.944,3.02729,3.11995,1.3477,0.00279,0.03355,0.00325,0.00185,3.11527,4.15381,1.88177,2.27933e-05,2.27933e-05,2.27933e-05
25,111.155,2.42309,3.0344,1.2736,0.0028,0.03355,0.00334,0.00197,3.11391,4.14498,1.87728,1.32253e-05,1.32253e-05,1.32253e-05
1,228.994,1.79025,1.84496,1.22929,0.36856,0.11767,0.10293,0.05588,1.86465,2.00168,1.32881,0.000370067,0.000370067,0.000370067
2,481.252,1.54756,1.45739,1.13742,0.3987,0.1145,0.10415,0.05968,1.7102,2.04493,1.26869,0.000711081,0.000711081,0.000711081
3,758.451,1.47784,1.38464,1.11274,0.40975,0.11518,0.10983,0.06352,1.69441,1.90565,1.27477,0.00102276,0.00102276,0.00102276
4,1030.68,1.42679,1.33339,1.09418,0.36962,0.13953,0.11077,0.06854,1.62544,1.93663,1.25572,0.000979013,0.000979013,0.000979013
5,1327.53,1.37847,1.28515,1.0792,0.37268,0.13406,0.11392,0.06857,1.63153,1.95624,1.24356,0.000935018,0.000935018,0.000935018
6,1609.97,1.3405,1.2433,1.067,0.38987,0.13288,0.11812,0.07203,1.57722,1.8568,1.24143,0.000891022,0.000891022,0.000891022
7,1888.03,1.31531,1.21709,1.0575,0.43545,0.1246,0.11514,0.0707,1.56549,1.89662,1.23495,0.000847026,0.000847026,0.000847026
