epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,316.02,1.47158,1.63994,1.25719,0.42566,0.14977,0.12031,0.0774,1.566,2.02639,1.45377,0.0670116,0.000333216,0.000333216
2,615.426,1.31619,1.44025,1.17558,0.3979,0.13474,0.11342,0.07642,1.48557,2.04059,1.41114,0.0339852,0.000640154,0.000640154
3,910.137,1.2455,1.34871,1.13869,0.43012,0.14059,0.12762,0.08769,1.4006,1.99019,1.3507,0.000932384,0.000920692,0.000920692
4,1241.9,1.18248,1.26689,1.1069,0.39311,0.16424,0.13122,0.09051,1.39469,1.98137,1.34675,0.0008812,0.0008812,0.0008812
5,1529.1,1.13102,1.19986,1.08652,0.39602,0.18878,0.13308,0.09694,1.36257,1.92277,1.32887,0.0008416,0.0008416,0.0008416
6,1816.17,1.08614,1.12979,1.0653,0.45655,0.12511,0.13673,0.09743,1.36937,1.9311,1.34738,0.000802,0.000802,0.000802
7,2103.67,1.04715,1.08172,1.0499,0.45798,0.17021,0.14305,0.10245,1.31221,1.93807,1.32486,0.0007624,0.0007624,0.0007624
8,2391.26,1.00929,1.02797,1.03357,0.2003,0.16786,0.14411,0.10352,1.34444,1.89958,1.34699,0.0007228,0.0007228,0.0007228
9,2677.92,0.97601,0.97661,1.02039,0.23747,0.16454,0.13916,0.10074,1.32991,1.91218,1.34628,0.0006832,0.0006832,0.0006832
10,2965.33,0.94827,0.94047,1.0079,0.25805,0.1486,0.14416,0.10802,1.31903,1.94419,1.33581,0.0006436,0.0006436,0.0006436
11,3252.76,0.91345,0.89603,0.99415,0.23511,0.1652,0.14586,0.1058,1.3261,1.90232,1.33607,0.000604,0.000604,0.000604
12,3540.32,0.89042,0.86716,0.98599,0.22203,0.14947,0.14592,0.10774,1.33177,1.88502,1.33769,0.0005644,0.0005644,0.0005644
13,3827.9,0.86594,0.83738,0.97728,0.24866,0.14957,0.1475,0.107,1.32369,1.9295,1.35075,0.0005248,0.0005248,0.0005248
14,4114.06,0.84235,0.80688,0.96787,0.46303,0.1676,0.15023,0.11066,1.30867,1.91187,1.34018,0.0004852,0.0004852,0.0004852
15,4401.29,0.82481,0.79083,0.9606,0.48006,0.15142,0.1506,0.10995,1.3401,1.97138,1.35533,0.0004456,0.0004456,0.0004456
16,4721.22,0.80544,0.7643,0.95435,0.23909,0.16611,0.14773,0.10834,1.30807,1.96605,1.33051,0.000406,0.000406,0.000406
17,5031.71,0.7874,0.74223,0.94758,0.22238,0.16636,0.14707,0.10859,1.30205,1.94563,1.33363,0.0003664,0.0003664,0.0003664
18,5341.7,0.77371,0.72493,0.94312,0.19098,0.19466,0.14606,0.10907,1.29746,1.95228,1.33559,0.0003268,0.0003268,0.0003268
19,5652.4,0.7567,0.70643,0.93655,0.2224,0.20522,0.15033,0.11093,1.28892,1.92602,1.33005,0.0002872,0.0002872,0.0002872
20,5968.25,0.74118,0.68864,0.9308,0.22457,0.19503,0.15191,0.1086,1.31628,1.98546,1.34415,0.0002476,0.0002476,0.0002476
21,6285.01,0.72998,0.67774,0.92801,0.23986,0.16953,0.15236,0.11112,1.30973,1.99396,1.33938,0.000208,0.000208,0.000208
22,6593.33,0.71647,0.66192,0.92296,0.22591,0.20178,0.15314,0.11295,1.30583,1.98419,1.33432,0.0001684,0.0001684,0.0001684
23,6929.22,0.70473,0.65033,0.91907,0.24088,0.17612,0.1528,0.11127,1.30129,2.00533,1.33,0.0001288,0.0001288,0.0001288
24,7238.02,0.69152,0.63625,0.91393,0.22147,0.19538,0.15362,0.1128,1.30162,2.00327,1.33381,8.92e-05,8.92e-05,8.92e-05
25,7546.26,0.68487,0.62896,0.91268,0.22286,0.19375,0.15321,0.11142,1.30773,2.02015,1.33471,4.96e-05,4.96e-05,4.96e-05
