epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.083,1.51857,1.78509,1.24141,0.39246,0.17909,0.11776,0.07783,1.55521,2.15287,1.40104,0.000370203,0.000370203,0.000370203
2,548.501,1.33501,1.46988,1.1631,0.38518,0.12255,0.11786,0.08185,1.49008,2.08334,1.37986,0.000711212,0.000711212,0.000711212
3,824.388,1.27755,1.39156,1.13683,0.40613,0.15571,0.12204,0.08352,1.44673,2.02317,1.36718,0.00102289,0.00102289,0.00102289
4,1164.22,1.23875,1.33274,1.11963,0.41372,0.12765,0.12605,0.08541,1.42633,2.03542,1.35758,0.000979013,0.000979013,0.000979013
5,1469.4,1.1929,1.27653,1.10141,0.41389,0.13829,0.12767,0.08904,1.40233,2.00225,1.34397,0.000935018,0.000935018,0.000935018
6,1731.65,1.1589,1.23121,1.08679,0.41851,0.14874,0.13635,0.09488,1.37935,1.93574,1.32413,0.000891022,0.000891022,0.000891022
7,1991.14,1.12978,1.19689,1.07762,0.40644,0.13969,0.13373,0.09446,1.35877,1.92991,1.33919,0.000847026,0.000847026,0.000847026
8,2252.06,1.10683,1.16117,1.06621,0.38287,0.13838,0.12994,0.09179,1.37887,1.9601,1.33977,0.000803031,0.000803031,0.000803031
9,2512.02,1.08336,1.1345,1.05874,0.42408,0.12864,0.1316,0.09243,1.36346,1.9456,1.32881,0.000759035,0.000759035,0.000759035
10,2772.22,1.06938,1.11375,1.05252,0.22188,0.14045,0.13475,0.09404,1.37298,1.94072,1.32708,0.00071504,0.00071504,0.00071504
11,3033.76,1.04726,1.0846,1.04327,0.20031,0.15499,0.13518,0.09438,1.36447,1.93179,1.32648,0.000671044,0.000671044,0.000671044
12,3297.47,1.03111,1.06327,1.03768,0.16788,0.15164,0.13834,0.09815,1.35793,1.89129,1.32639,0.000627048,0.000627048,0.000627048
13,3560.94,1.01926,1.04563,1.03335,0.41962,0.12553,0.13023,0.09233,1.38378,1.95789,1.33365,0.000583053,0.000583053,0.000583053
14,3822.14,1.00451,1.02845,1.02734,0.18851,0.15357,0.13726,0.09666,1.35807,1.92974,1.32992,0.000539057,0.000539057,0.000539057
15,4085.26,0.98642,1.01046,1.02066,0.18313,0.16914,0.13978,0.09965,1.36647,1.93951,1.33408,0.000495062,0.000495062,0.000495062
16,4340.34,0.96749,0.97417,1.01483,0.22533,0.14287,0.13877,0.09929,1.37343,1.90279,1.33606,0.000451066,0.000451066,0.000451066
17,4577.79,0.94912,0.94722,1.00684,0.24018,0.13157,0.13758,0.09629,1.37031,1.9262,1.33905,0.00040707,0.00040707,0.00040707
18,4820.93,0.93626,0.93059,1.00228,0.19954,0.16455,0.14149,0.10052,1.37868,1.90413,1.34767,0.000363075,0.000363075,0.000363075
19,5064.17,0.91711,0.90735,0.99417,0.21136,0.15374,0.13956,0.09856,1.37229,1.92213,1.34493,0.000319079,0.000319079,0.000319079
20,5307.87,0.90304,0.88892,0.98818,0.23106,0.13593,0.13782,0.09774,1.35459,1.90901,1.33265,0.000275084,0.000275084,0.000275084
21,5551.25,0.89195,0.8785,0.98548,0.23219,0.13927,0.14046,0.09931,1.36785,1.92127,1.33214,0.000231088,0.000231088,0.000231088
22,5792.7,0.87904,0.86137,0.9803,0.21492,0.14365,0.13755,0.09812,1.36907,1.92724,1.34119,0.000187092,0.000187092,0.000187092
23,6023.84,0.86735,0.84928,0.97581,0.22489,0.1373,0.13721,0.09804,1.36806,1.9359,1.33815,0.000143097,0.000143097,0.000143097
24,6252.26,0.85473,0.83465,0.97072,0.22768,0.14131,0.13643,0.09705,1.37244,1.94532,1.33873,9.91012e-05,9.91012e-05,9.91012e-05
25,6479.12,0.84756,0.82858,0.96977,0.24726,0.12928,0.13812,0.0985,1.37167,1.93867,1.33755,5.51056e-05,5.51056e-05,5.51056e-05
