epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.449,3.19451,2.6096,2.57783,0.26624,0.05688,0.04726,0.01968,2.40359,2.12768,1.73548,0.000370074,0.000370074,0.000370074
2,214.087,2.06767,1.74699,1.47168,0.37756,0.08009,0.07376,0.03611,1.99465,2.05404,1.47278,0.000711087,0.000711087,0.000711087
3,315.512,1.83599,1.60831,1.30518,0.43207,0.08938,0.08205,0.04254,1.85822,1.91261,1.38695,0.00102277,0.00102277,0.00102277
4,416.394,1.69801,1.52106,1.23574,0.34655,0.10894,0.08436,0.04756,1.79588,2.01685,1.3544,0.000979013,0.000979013,0.000979013
5,517.016,1.60789,1.4567,1.19573,0.37202,0.11662,0.08928,0.05123,1.73348,1.95246,1.33804,0.000935018,0.000935018,0.000935018
6,617.748,1.54856,1.40943,1.17355,0.39697,0.11298,0.09943,0.05562,1.70385,1.93809,1.32276,0.000891022,0.000891022,0.000891022
7,717.318,1.50752,1.3746,1.15596,0.40182,0.1039,0.09207,0.05199,1.70102,1.98594,1.30946,0.000847026,0.000847026,0.000847026
8,813.795,1.47843,1.35327,1.14426,0.38127,0.11169,0.0951,0.05601,1.64776,1.88225,1.28269,0.000803031,0.000803031,0.000803031
9,908.639,1.45427,1.32967,1.13116,0.36892,0.1163,0.09628,0.05635,1.65331,1.87998,1.29055,0.000759035,0.000759035,0.000759035
10,1003.7,1.43156,1.30535,1.12045,0.38076,0.11894,0.10108,0.05906,1.62419,1.9286,1.27435,0.00071504,0.00071504,0.00071504
11,1098.51,1.41027,1.28156,1.10992,0.36239,0.09915,0.09228,0.0561,1.62764,1.95152,1.28122,0.000671044,0.000671044,0.000671044
12,1193.27,1.38645,1.26285,1.1023,0.37016,0.11251,0.10385,0.06198,1.60059,1.89544,1.2621,0.000627048,0.000627048,0.000627048
13,1288,1.37647,1.24642,1.09732,0.378,0.11753,0.10517,0.06521,1.60815,1.91268,1.28005,0.000583053,0.000583053,0.000583053
14,1383.1,1.35578,1.23108,1.09044,0.37389,0.11937,0.10583,0.0641,1.59104,1.88673,1.26991,0.000539057,0.000539057,0.000539057
15,1478.04,1.33523,1.21044,1.08407,0.36648,0.11337,0.1044,0.06376,1.58645,1.88181,1.25295,0.000495062,0.000495062,0.000495062
16,1583.65,1.30577,1.18149,1.0778,0.38455,0.12246,0.10776,0.06633,1.58766,1.88667,1.26189,0.000451066,0.000451066,0.000451066
17,1671.74,1.28084,1.15307,1.06878,0.3981,0.10729,0.10596,0.0655,1.58552,1.85667,1.2617,0.00040707,0.00040707,0.00040707
18,1760.51,1.26441,1.13396,1.06244,0.37662,0.11929,0.10822,0.06669,1.5806,1.86028,1.26163,0.000363075,0.000363075,0.000363075
19,1848.63,1.24462,1.11283,1.05505,0.3851,0.11471,0.10423,0.06464,1.57489,1.85327,1.25892,0.000319079,0.000319079,0.000319079
20,1936.85,1.22702,1.09482,1.04941,0.40907,0.10776,0.10841,0.06744,1.57828,1.86321,1.25583,0.000275084,0.000275084,0.000275084
21,2025.27,1.21016,1.08002,1.04333,0.40714,0.11206,0.11069,0.06757,1.57889,1.85873,1.2588,0.000231088,0.000231088,0.000231088
22,2113.83,1.19698,1.0634,1.03734,0.39076,0.11511,0.10757,0.06717,1.57506,1.86778,1.25347,0.000187092,0.000187092,0.000187092
23,2202.28,1.18301,1.05073,1.03379,0.37879,0.11938,0.10914,0.06815,1.57437,1.86395,1.25567,0.000143097,0.000143097,0.000143097
24,2290.88,1.17257,1.04054,1.03068,0.39329,0.11616,0.11161,0.06976,1.57847,1.86736,1.2561,9.91012e-05,9.91012e-05,9.91012e-05
25,2380.49,1.16377,1.02976,1.02714,0.3782,0.12244,0.10913,0.06751,1.57165,1.86814,1.25428,5.51056e-05,5.51056e-05,5.51056e-05
