epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.784,1.78351,1.84099,1.22679,0.3329,0.13085,0.09759,0.05394,1.8708,2.13603,1.31004,0.000370074,0.000370074,0.000370074
2,228.607,1.54394,1.45178,1.13585,0.34544,0.13251,0.09407,0.05324,1.72905,2.04838,1.25958,0.000711087,0.000711087,0.000711087
3,334.902,1.47646,1.38059,1.1095,0.37592,0.10732,0.09774,0.05775,1.69045,1.92172,1.28894,0.00102277,0.00102277,0.00102277
4,440.691,1.41783,1.31963,1.08985,0.36405,0.13719,0.10382,0.05942,1.67604,1.9868,1.28177,0.000979013,0.000979013,0.000979013
5,546.95,1.37368,1.27143,1.07465,0.40055,0.11341,0.1064,0.06433,1.59229,1.83777,1.2476,0.000935018,0.000935018,0.000935018
6,653.471,1.33409,1.23243,1.06314,0.40792,0.1434,0.12004,0.07308,1.5744,1.83775,1.23207,0.000891022,0.000891022,0.000891022
7,759.708,1.30318,1.19908,1.05193,0.35144,0.14612,0.11832,0.07317,1.56299,1.8887,1.23471,0.000847026,0.000847026,0.000847026
8,865.642,1.283,1.17768,1.0456,0.38661,0.12927,0.11779,0.07477,1.53293,1.84666,1.22706,0.000803031,0.000803031,0.000803031
9,970.804,1.25762,1.15115,1.0373,0.39076,0.14347,0.1179,0.07403,1.57533,1.84772,1.24338,0.000759035,0.000759035,0.000759035
10,1076.07,1.23997,1.12792,1.02985,0.38412,0.13985,0.11648,0.07345,1.55875,1.80683,1.22945,0.00071504,0.00071504,0.00071504
11,1181.86,1.22162,1.10548,1.02347,0.4246,0.11579,0.11453,0.0737,1.55885,1.8726,1.22695,0.000671044,0.000671044,0.000671044
12,1287.95,1.2017,1.08712,1.01823,0.4372,0.10322,0.11992,0.07712,1.5322,1.81527,1.21421,0.000627048,0.000627048,0.000627048
13,1392.17,1.1901,1.07051,1.01446,0.43895,0.11077,0.12315,0.08078,1.5549,1.86615,1.23979,0.000583053,0.000583053,0.000583053
14,1497.68,1.17492,1.05641,1.00981,0.43538,0.11397,0.12499,0.08132,1.51703,1.81209,1.21248,0.000539057,0.000539057,0.000539057
15,1602.47,1.15798,1.03881,1.0051,0.43792,0.11212,0.11707,0.07836,1.51945,1.83326,1.20844,0.000495062,0.000495062,0.000495062
16,1719.03,1.12928,1.0004,0.99899,0.44839,0.12512,0.12062,0.0802,1.55076,1.78979,1.23855,0.000451066,0.000451066,0.000451066
17,1817.96,1.10597,0.97417,0.9903,0.46227,0.11761,0.1237,0.08096,1.54914,1.78691,1.22791,0.00040707,0.00040707,0.00040707
18,1917.14,1.09146,0.95599,0.98614,0.44645,0.11876,0.12149,0.0789,1.53089,1.75907,1.22326,0.000363075,0.000363075,0.000363075
19,2016.17,1.07169,0.93461,0.97984,0.43578,0.12118,0.1227,0.08141,1.51264,1.78258,1.21991,0.000319079,0.000319079,0.000319079
20,2115.34,1.05668,0.91915,0.97477,0.43353,0.11581,0.12238,0.08109,1.51887,1.78649,1.22981,0.000275084,0.000275084,0.000275084
21,2214.81,1.03833,0.90289,0.97018,0.46182,0.11647,0.12642,0.08255,1.53211,1.78612,1.23053,0.000231088,0.000231088,0.000231088
22,2313.48,1.02701,0.88818,0.96487,0.43012,0.12426,0.12345,0.0811,1.5236,1.77781,1.22378,0.000187092,0.000187092,0.000187092
23,2412.19,1.01358,0.87551,0.96153,0.41025,0.13462,0.12553,0.08208,1.52455,1.77054,1.22675,0.000143097,0.000143097,0.000143097
24,2511.13,1.00285,0.86684,0.95917,0.42424,0.13388,0.12704,0.08336,1.51512,1.76747,1.2166,9.91012e-05,9.91012e-05,9.91012e-05
25,2610.06,0.99132,0.85458,0.9553,0.43027,0.13392,0.12575,0.08283,1.51433,1.76187,1.21624,5.51056e-05,5.51056e-05,5.51056e-05
