epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.7,1.78024,1.69125,1.23106,0.12572,0.11937,0.08111,0.04519,1.90824,2.27217,1.41947,0.070021,0.003331,0.003331
2,237.166,1.62319,1.51469,1.18292,0.11651,0.10151,0.07975,0.04416,1.84022,2.11443,1.34931,0.0397571,0.00640042,0.00640042
3,348.116,1.52742,1.42902,1.14591,0.36681,0.10115,0.09464,0.05413,1.67736,1.89008,1.30339,0.00922922,0.00920585,0.00920585
4,458.216,1.47141,1.37828,1.12656,0.37708,0.11098,0.09897,0.06032,1.66173,1.96168,1.32436,0.008812,0.008812,0.008812
5,567.796,1.42042,1.32988,1.10724,0.347,0.12958,0.09996,0.05821,1.63338,1.88453,1.2795,0.008416,0.008416,0.008416
6,676.976,1.38678,1.29847,1.09539,0.37128,0.1445,0.10317,0.06342,1.60614,1.85892,1.27748,0.00802,0.00802,0.00802
7,787.029,1.35403,1.26249,1.08276,0.38726,0.10785,0.1073,0.06616,1.58921,1.76295,1.26538,0.007624,0.007624,0.007624
8,896.593,1.32821,1.24164,1.07407,0.41799,0.12134,0.14002,0.091,1.52367,1.81803,1.25974,0.007228,0.007228,0.007228
9,1006.43,1.3064,1.21762,1.06568,0.4329,0.1121,0.11959,0.07669,1.52092,1.81288,1.24126,0.006832,0.006832,0.006832
10,1116.32,1.28653,1.19265,1.05639,0.41632,0.13286,0.118,0.07418,1.50522,1.83113,1.23475,0.006436,0.006436,0.006436
11,1225.6,1.26454,1.16823,1.04844,0.406,0.12043,0.1174,0.07342,1.50681,1.83588,1.23503,0.00604,0.00604,0.00604
12,1334.78,1.24895,1.15409,1.04405,0.3179,0.187,0.14603,0.09471,1.50459,1.80959,1.22551,0.005644,0.005644,0.005644
13,1444.63,1.23224,1.13346,1.03869,0.39659,0.14956,0.12352,0.077,1.49419,1.83681,1.22885,0.005248,0.005248,0.005248
14,1554.68,1.21537,1.11901,1.03326,0.43941,0.11118,0.12339,0.07989,1.4486,1.77089,1.20946,0.004852,0.004852,0.004852
15,1664.6,1.20042,1.10215,1.02852,0.38187,0.1405,0.12112,0.07743,1.48018,1.83605,1.22187,0.004456,0.004456,0.004456
16,1784.36,1.18609,1.07327,1.02618,0.42482,0.11832,0.1172,0.07623,1.49648,1.79132,1.22464,0.00406,0.00406,0.00406
17,1886.38,1.15814,1.04264,1.01675,0.41527,0.11841,0.11967,0.07619,1.48325,1.80697,1.21835,0.003664,0.003664,0.003664
18,1988.27,1.14317,1.02571,1.012,0.46237,0.11697,0.12225,0.07929,1.45953,1.79718,1.21221,0.003268,0.003268,0.003268
19,2090.64,1.12154,1.00282,1.00364,0.38056,0.14468,0.12165,0.07895,1.46739,1.78995,1.21469,0.002872,0.002872,0.002872
20,2192.9,1.10494,0.98455,0.9988,0.39397,0.14274,0.12672,0.08067,1.47789,1.78906,1.22217,0.002476,0.002476,0.002476
21,2295.05,1.08509,0.96698,0.99226,0.39038,0.14404,0.12841,0.08196,1.46853,1.80089,1.21634,0.00208,0.00208,0.00208
22,2398.1,1.07175,0.94985,0.98766,0.40115,0.13555,0.12669,0.08217,1.46292,1.79184,1.21359,0.001684,0.001684,0.001684
23,2500.41,1.05638,0.93745,0.9829,0.40103,0.13673,0.12676,0.08233,1.46397,1.7928,1.21397,0.001288,0.001288,0.001288
24,2602.01,1.04411,0.92597,0.98016,0.40037,0.14066,0.1282,0.08395,1.46392,1.79105,1.21781,0.000892,0.000892,0.000892
25,2704.03,1.03229,0.91361,0.97611,0.38479,0.13945,0.12813,0.08382,1.45517,1.78971,1.21059,0.000496,0.000496,0.000496
