epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.824,3.13916,2.56302,2.53069,0.27304,0.05291,0.04866,0.02151,2.39699,2.18579,1.73041,0.000370074,0.000370074,0.000370074
2,239.473,2.04609,1.73142,1.465,0.367,0.09535,0.07641,0.03968,1.96496,2.00375,1.4538,0.000711087,0.000711087,0.000711087
3,353.682,1.82507,1.59887,1.30585,0.39358,0.10061,0.08691,0.0473,1.86582,1.91766,1.39399,0.00102277,0.00102277,0.00102277
4,468.31,1.69461,1.51795,1.2375,0.37358,0.10868,0.08743,0.04965,1.76924,2.01007,1.33253,0.000979013,0.000979013,0.000979013
5,581.004,1.60471,1.45293,1.19851,0.35588,0.1051,0.08939,0.0515,1.71998,1.91187,1.32577,0.000935018,0.000935018,0.000935018
6,693.194,1.54239,1.40714,1.1746,0.35981,0.1119,0.09631,0.0557,1.66553,1.90725,1.30208,0.000891022,0.000891022,0.000891022
7,805.34,1.49916,1.37108,1.15659,0.40915,0.10459,0.10002,0.0587,1.66895,1.96748,1.31174,0.000847026,0.000847026,0.000847026
8,917.38,1.46824,1.348,1.14389,0.41507,0.11851,0.10356,0.06342,1.63353,1.92394,1.28254,0.000803031,0.000803031,0.000803031
9,1028.98,1.44341,1.32463,1.13103,0.36433,0.12715,0.10328,0.06232,1.5814,1.88093,1.26177,0.000759035,0.000759035,0.000759035
10,1140.95,1.42335,1.30115,1.11968,0.36846,0.13484,0.10722,0.06681,1.59661,1.92598,1.26597,0.00071504,0.00071504,0.00071504
11,1253.05,1.39848,1.27427,1.10832,0.42204,0.104,0.10839,0.06745,1.57619,1.91949,1.27044,0.000671044,0.000671044,0.000671044
12,1364.89,1.37719,1.25736,1.10181,0.41795,0.10582,0.11059,0.06774,1.57291,1.89135,1.26933,0.000627048,0.000627048,0.000627048
13,1476.95,1.36166,1.23687,1.09525,0.44429,0.10285,0.1105,0.06966,1.56251,1.88948,1.26059,0.000583053,0.000583053,0.000583053
14,1589.24,1.34128,1.22182,1.08793,0.40853,0.11931,0.11177,0.06991,1.57603,1.86657,1.26511,0.000539057,0.000539057,0.000539057
15,1702.09,1.32152,1.20079,1.0819,0.44332,0.10185,0.11076,0.07108,1.5571,1.86342,1.25351,0.000495062,0.000495062,0.000495062
16,1825.96,1.29704,1.17679,1.07699,0.42571,0.11216,0.11348,0.07267,1.55299,1.83036,1.25006,0.000451066,0.000451066,0.000451066
17,1930.5,1.27583,1.15189,1.07001,0.39071,0.12275,0.11232,0.07094,1.56736,1.86589,1.25879,0.00040707,0.00040707,0.00040707
18,2035.1,1.25995,1.13439,1.06416,0.38539,0.11315,0.11066,0.07069,1.55096,1.85121,1.24861,0.000363075,0.000363075,0.000363075
19,2139.51,1.23841,1.11069,1.05591,0.4085,0.10675,0.1103,0.07034,1.54306,1.87056,1.25105,0.000319079,0.000319079,0.000319079
20,2243.94,1.22156,1.09148,1.0498,0.423,0.10543,0.11381,0.07156,1.56735,1.88333,1.26429,0.000275084,0.000275084,0.000275084
21,2348.24,1.20322,1.0755,1.04354,0.42395,0.10419,0.1126,0.07084,1.54937,1.87108,1.24467,0.000231088,0.000231088,0.000231088
22,2452.42,1.18927,1.05914,1.03829,0.41319,0.10789,0.11542,0.073,1.55074,1.87859,1.25145,0.000187092,0.000187092,0.000187092
23,2556.74,1.17651,1.04637,1.03383,0.42494,0.10392,0.11361,0.07264,1.55328,1.89781,1.24757,0.000143097,0.000143097,0.000143097
24,2661.41,1.16337,1.03359,1.03015,0.42096,0.10257,0.11494,0.0728,1.56508,1.898,1.25759,9.91012e-05,9.91012e-05,9.91012e-05
25,2767.52,1.15421,1.02205,1.02631,0.42127,0.10186,0.11421,0.07256,1.55152,1.89245,1.24972,5.51056e-05,5.51056e-05,5.51056e-05
